work_time,break_time,focus_score
25.0,5.0,88.0
31.78825810825939,13.34756425402758,8.006293032781194
30.871439678054028,13.164620807113632,6.909013050712355
35.31434549576311,12.589929874792864,7.108953214
15.0,13.873606872737405,4.20894297
27.3158409,13.711846565461682,6.588860941459592
38.57933594400606,10.733711596519248,6.992391141372044
32.986942676402904,11.74543475992693,7.555002150863531
32.93307707857454,11.70958151532272,7.642042336277119
34.57956955345051,12.313547052536386,6.5067131593659004
41.36979676191709,8.485352224418477,7.891991552259827
41.58716852357159,8.368518373671854,7.507439911710193
38.352803674402296,9.250268599,8.165617315119741
37.40498726847453,9.350638235,8.460224703167572
36.09876773,9.456919627577715,8.569361114
35.33735924088566,9.562111023,8.190412184
35.58834195795358,9.468649962235816,7.989652050063969
37.17886003,8.849185926699386,8.396840305709793
37.33085775048001,8.767472239,8.242638388425913
37.35631864780531,8.730261156579726,7.774949644425822
33.97491289579335,9.930600569790348,7.799555309
37.58253382148516,9.486118142726072,7.458660992804666
60.0,6.940292427982663,
